timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by
2025-05-29T21:05:06.468709,NYC_GOID_000217,Name,Mayor’s Office of Housing Recovery Operations,Mayor's Office of Housing Recovery Operations,qa_edits_curated_subset.csv,"Fix ""Mayor's Office of Housing Recovery Operations""",MyName_Phase6_RuleRefinedRun
2025-05-29T21:05:06.469078,NYC_GOID_000000,Name,311,NYC311,qa_edits_curated_subset.csv,"311 refers to itself as ""NYC311"" on its website",MyName_Phase6_RuleRefinedRun
2025-05-29T21:05:06.469757,NYC_GOID_000029,Description,N/A,N/A,qa_edits_curated_subset.csv,Why is Queens BP the only BP with a description?,MyName_Phase6_RuleRefinedRun
2025-05-29T21:05:06.469996,NYC_GOID_000050,Description,"This site is up for historical purposes only. The Charter Revision Commission is charged with reviewing the entire Charter of the City of New York, holding hearings in all five boroughs to solicit public input, and issuing a report outlining findings and recommendations to amend or revise the Charter.",This site is up for historical purposes only.,qa_edits_curated_subset.csv,"Description begins with ""This site is up for historical purposes only."" which makes it look inactive",MyName_Phase6_RuleRefinedRun
2025-05-29T21:05:06.470469,NYC_GOID_000312,AlternativeNames,N/A,N/A,qa_edits_curated_subset.csv,Mistakenly populated field - Children's Cabinet is unrelated to NYC & Company,MyName_Phase6_RuleRefinedRun
2025-05-29T21:05:06.470976,NYC_GOID_000248,Acronym,N/A,N/A,qa_edits_curated_subset.csv,MAYORS FUND is not an acronym,MyName_Phase6_RuleRefinedRun
2025-05-29T21:05:06.471640,NYC_GOID_000234,Acronym,N/A,N/A,qa_edits_curated_subset.csv,PANY for Kings County Public Administrator appears to be an error,MyName_Phase6_RuleRefinedRun
2025-05-29T21:05:06.471974,NYC_GOID_000277,AlternativeAcronyms,N/A,N/A,qa_edits_curated_subset.csv,Is this an error? AJC for Mayor's Office of Special Enforcement?,MyName_Phase6_RuleRefinedRun
2025-05-29T21:05:06.472243,NYC_GOID_100001,OrganizationType,"Advisory, Oversight, or Regulatory Body",Advisory or Regulatory Organization,qa_edits_curated_subset.csv,Change value to 'Advisory or Regulatory Organization',MyName_Phase6_RuleRefinedRun
2025-05-29T21:05:06.473758,NYC_GOID_000260,PrincipalOfficerContactURL,Non-existant,Non-existant,qa_edits_curated_subset.csv,"Remove value of ""Non-existant""",MyName_Phase6_RuleRefinedRun
