timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by
2025-05-30T11:19:49.056828,NYC_GOID_000217,Name,Mayor’s Office of Housing Recovery Operations,Mayor's Office of Housing Recovery Operations,Agency_Name_QA_Edits.csv,"Fix ""Mayor's Office of Housing Recovery Operations""",MyName_Phase6_FeedbackCleanedRun
2025-05-30T11:19:49.057791,NYC_GOID_000000,Name,311,NYC311,Agency_Name_QA_Edits.csv,"311 refers to itself as ""NYC311"" on its website",MyName_Phase6_FeedbackCleanedRun
2025-05-30T11:19:49.060454,NYC_GOID_000029,Description,N/A,N/A,Agency_Name_QA_Edits.csv,Why is Queens BP the only BP with a description?,MyName_Phase6_FeedbackCleanedRun
2025-05-30T11:19:49.060979,NYC_GOID_000050,Description,"This site is up for historical purposes only. The Charter Revision Commission is charged with reviewing the entire Charter of the City of New York, holding hearings in all five boroughs to solicit public input, and issuing a report outlining findings and recommendations to amend or revise the Charter.",This site is up for historical purposes only.,Agency_Name_QA_Edits.csv,"Description begins with ""This site is up for historical purposes only."" which makes it look inactive",MyName_Phase6_FeedbackCleanedRun
2025-05-30T11:19:49.062079,NYC_GOID_000312,AlternativeNames,N/A,N/A,Agency_Name_QA_Edits.csv,Mistakenly populated field - Children's Cabinet is unrelated to NYC & Company,MyName_Phase6_FeedbackCleanedRun
2025-05-30T11:19:49.062706,NYC_GOID_000193,Acronym,,FDM,Agency_Name_QA_Edits.csv,FDM,MyName_Phase6_FeedbackCleanedRun
2025-05-30T11:19:49.063089,NYC_GOID_000248,Acronym,N/A,N/A,Agency_Name_QA_Edits.csv,MAYORS FUND is not an acronym,MyName_Phase6_FeedbackCleanedRun
2025-05-30T11:19:49.063363,NYC_GOID_000318,Acronym,HH,H+H,Agency_Name_QA_Edits.csv,H+H rather than HH,MyName_Phase6_FeedbackCleanedRun
2025-05-30T11:19:49.063844,NYC_GOID_000234,Acronym,N/A,N/A,Agency_Name_QA_Edits.csv,PANY for Kings County Public Administrator appears to be an error,MyName_Phase6_FeedbackCleanedRun
2025-05-30T11:19:49.064636,NYC_GOID_000277,AlternativeAcronyms,N/A,N/A,Agency_Name_QA_Edits.csv,Is this an error? AJC for Mayor's Office of Special Enforcement?,MyName_Phase6_FeedbackCleanedRun
2025-05-30T11:19:49.065376,NYC_GOID_100001,OrganizationType,"Advisory, Oversight, or Regulatory Body",Advisory or Regulatory Organization,Agency_Name_QA_Edits.csv,Change value to 'Advisory or Regulatory Organization',MyName_Phase6_FeedbackCleanedRun
2025-05-30T11:19:49.067734,NYC_GOID_000252,PrincipalOfficerTitle,Deputy Executive Director,Executive Director,Agency_Name_QA_Edits.csv,Carson Hicks is now Executive Director,MyName_Phase6_FeedbackCleanedRun
2025-05-30T11:19:49.068022,NYC_GOID_000260,PrincipalOfficerTitle,Director,Senior Executive Director,Agency_Name_QA_Edits.csv,Title is currently Senior Executive Director,MyName_Phase6_FeedbackCleanedRun
2025-05-30T11:19:49.068333,NYC_GOID_000238,PrincipalOfficerTitle,Acting Corporation Counsel of the City of New York,Corporation Counsel of the City of New York,Agency_Name_QA_Edits.csv,"Removed 'Acting' prefix from 'Acting Corporation Counsel of the City of New York' to get 'Corporation Counsel of the City of New York'. Original feedback: 'Confirmed,so no longer Acting'",MyName_Phase6_FeedbackCleanedRun
2025-05-30T11:19:49.068600,NYC_GOID_000268,PrincipalOfficersName,,,Agency_Name_QA_Edits.csv,Jose Bayona has left the City,MyName_Phase6_FeedbackCleanedRun
2025-05-30T11:19:49.069749,NYC_GOID_000276,PrincipalOfficersName,,,Agency_Name_QA_Edits.csv,Betsy MacLean has left the City,MyName_Phase6_FeedbackCleanedRun
2025-05-30T11:19:49.070235,NYC_GOID_100007,PrincipalOfficersName,,,Agency_Name_QA_Edits.csv,Ryan Birchmeier has left the City,MyName_Phase6_FeedbackCleanedRun
2025-05-30T11:19:49.071098,NYC_GOID_000260,PrincipalOfficerContactURL,Non-existant,Non-existant,Agency_Name_QA_Edits.csv,"Remove value of ""Non-existant""",MyName_Phase6_FeedbackCleanedRun
