record_id,record_name,field_name,new_value,justification,evidence_url
NYC_GOID_000152,"New York City Department of Sanitation",principal_officer_full_name,"Gregory Anderson","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-appoints-gregory-anderson-as-commissioner-of-the-d"
NYC_GOID_000152,"New York City Department of Sanitation",principal_officer_title,"Commissioner","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-appoints-gregory-anderson-as-commissioner-of-the-d"
NYC_GOID_000152,"New York City Department of Sanitation",principal_officer_first_name,"Gregory","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-appoints-gregory-anderson-as-commissioner-of-the-d"
NYC_GOID_000152,"New York City Department of Sanitation",principal_officer_last_name,"Anderson","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-appoints-gregory-anderson-as-commissioner-of-the-d"
NEW,"Deputy Mayor for Community Safety",name,"Deputy Mayor for Community Safety","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-appoints-renita-francois-as-deputy-mayor-for-commu"
NEW,"Deputy Mayor for Community Safety",name_alphabetized,"Community Safety, Deputy Mayor for","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-appoints-renita-francois-as-deputy-mayor-for-commu"
NEW,"Deputy Mayor for Community Safety",operational_status,"Active","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-appoints-renita-francois-as-deputy-mayor-for-commu"
NEW,"Deputy Mayor for Community Safety",organization_type,"Mayoral Office","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-appoints-renita-francois-as-deputy-mayor-for-commu"
NEW,"Deputy Mayor for Community Safety",in_org_chart,"TRUE","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-appoints-renita-francois-as-deputy-mayor-for-commu"
NEW,"Deputy Mayor for Community Safety",principal_officer_full_name,"Renita Francois","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-appoints-renita-francois-as-deputy-mayor-for-commu"
NEW,"Deputy Mayor for Community Safety",principal_officer_title,"Deputy Mayor","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-appoints-renita-francois-as-deputy-mayor-for-commu"
NEW,"Mayor's Office of LGBTQIA+ Affairs",name,"Mayor's Office of LGBTQIA+ Affairs","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-signs-executive-order-establishing-the-mayor-s-off"
NEW,"Mayor's Office of LGBTQIA+ Affairs",name_alphabetized,"LGBTQIA+ Affairs, Mayor's Office of","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-signs-executive-order-establishing-the-mayor-s-off"
NEW,"Mayor's Office of LGBTQIA+ Affairs",operational_status,"Active","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-signs-executive-order-establishing-the-mayor-s-off"
NEW,"Mayor's Office of LGBTQIA+ Affairs",organization_type,"Mayoral Office","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-signs-executive-order-establishing-the-mayor-s-off"
NEW,"Mayor's Office of LGBTQIA+ Affairs",in_org_chart,"TRUE","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-signs-executive-order-establishing-the-mayor-s-off"
NEW,"Mayor's Office of LGBTQIA+ Affairs",principal_officer_full_name,"Taylor Brown","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-signs-executive-order-establishing-the-mayor-s-off"
NEW,"Mayor's Office of LGBTQIA+ Affairs",principal_officer_title,"Director","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/03/mayor-mamdani-signs-executive-order-establishing-the-mayor-s-off"
