record_id,record_name,field_name,new_value,justification,evidence_url
NYC_GOID_000142,"Department of Design and Construction",principal_officer_full_name,"Paul Ochoa","Mayoral Appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including"
NYC_GOID_000142,"Department of Design and Construction",principal_officer_title,"Commissioner","Mayoral Appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including"
NYC_GOID_000142,"Department of Design and Construction",principal_officer_contact_url,"https://www.nyc.gov/site/ddc/about/contact-form.page?recipient=Paul%20A.%20Ochoa","Mayoral Appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including"
NYC_GOID_000142,"Department of Design and Construction",principal_officer_first_name,"Paul","Mayoral Appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including"
NYC_GOID_000142,"Department of Design and Construction",principal_officer_last_name,"Ochoa","Mayoral Appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including"
NYC_GOID_000151,"Department of Records and Information Services",principal_officer_full_name,"Shawn(ta) Smith-Cruz","Mayoral Appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including"
NYC_GOID_000151,"Department of Records and Information Services",principal_officer_first_name,"Shawn(ta)","Mayoral Appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including"
NYC_GOID_000151,"Department of Records and Information Services",principal_officer_last_name,"Smith-Cruz","Mayoral Appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including"
NYC_GOID_000274,"Mayor's Office of Operations",principal_officer_full_name,"Annie Levers","Mayoral Appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including"
NYC_GOID_000274,"Mayor's Office of Operations",principal_officer_first_name,"Annie","Mayoral Appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including"
NYC_GOID_000274,"Mayor's Office of Operations",principal_officer_last_name,"Levers","Mayoral Appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-appoints-leaders-across-city-government--including"
