record_id,record_name,field_name,new_value,justification,evidence_url
NYC_GOID_000140,"Department of Correction",principal_officer_full_name,"Stanley Richards","Mayoral Announcement","https://www.nyc.gov/mayors-office/news/2026/01/mayor-mamdani-announces-new-appointments--including-commissioner"
NYC_GOID_000140,"Department of Correction",principal_officer_first_name,"Stanley","Mayoral Announcement","https://www.nyc.gov/mayors-office/news/2026/01/mayor-mamdani-announces-new-appointments--including-commissioner"
NYC_GOID_000140,"Department of Correction",principal_officer_last_name,"Richards","Mayoral Announcement","https://www.nyc.gov/mayors-office/news/2026/01/mayor-mamdani-announces-new-appointments--including-commissioner"
NYC_GOID_000146,"Department of Health and Mental Hygiene",principal_officer_full_name,"Alister Martin","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/01/mayor-mamdani-announces-new-appointments--including-commissioner"
NYC_GOID_000146,"Department of Health and Mental Hygiene",principal_officer_title,"Commissioner","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/01/mayor-mamdani-announces-new-appointments--including-commissioner"
NYC_GOID_000146,"Department of Health and Mental Hygiene",principal_officer_contact_url,"https://www.nyc.gov/site/doh/about/email-the-commissioner.page","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/01/mayor-mamdani-announces-new-appointments--including-commissioner"
NYC_GOID_000146,"Department of Health and Mental Hygiene",principal_officer_first_name,"Alister","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/01/mayor-mamdani-announces-new-appointments--including-commissioner"
NYC_GOID_000146,"Department of Health and Mental Hygiene",principal_officer_last_name,"Martin","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/01/mayor-mamdani-announces-new-appointments--including-commissioner"
NYC_GOID_000158,"Department of Veterans' Services",principal_officer_full_name,"Yesenia Mata","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/01/mayor-mamdani-announces-new-appointments--including-commissioner"
NYC_GOID_000158,"Department of Veterans' Services",principal_officer_first_name,"Yesenia","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/01/mayor-mamdani-announces-new-appointments--including-commissioner"
NYC_GOID_000158,"Department of Veterans' Services",principal_officer_last_name,"Mata","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/01/mayor-mamdani-announces-new-appointments--including-commissioner"
NYC_GOID_000159,"Department of Youth and Community Development",principal_officer_full_name,"Sandra Escamilla-Davies","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/01/mayor-mamdani-announces-new-appointments--including-commissioner"
NYC_GOID_000159,"Department of Youth and Community Development",principal_officer_first_name,"Sandra","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/01/mayor-mamdani-announces-new-appointments--including-commissioner"
NYC_GOID_000159,"Department of Youth and Community Development",principal_officer_last_name,"Escamilla-Davies","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/01/mayor-mamdani-announces-new-appointments--including-commissioner"
NYC_GOID_000346,"Office of Administrative Trials and Hearings",principal_officer_full_name,"Vilda Vera Mayuga","Mayoral Appointment","https://www.nyc.gov/mayors-office/news/2026/01/mayor-mamdani-announces-new-appointments--including-commissioner"
NYC_GOID_000346,"Office of Administrative Trials and Hearings",principal_officer_first_name,"Vilda","Mayoral Appointment","https://www.nyc.gov/mayors-office/news/2026/01/mayor-mamdani-announces-new-appointments--including-commissioner"
NYC_GOID_000346,"Office of Administrative Trials and Hearings",principal_officer_last_name,"Mayuga","Mayoral Appointment","https://www.nyc.gov/mayors-office/news/2026/01/mayor-mamdani-announces-new-appointments--including-commissioner"
