record_id,record_name,field_name,new_value,justification,evidence_url
NYC_GOID_000361,"Mayor's Office of Innovation and Emerging Markets",operational_status,"Inactive","Denise Felipe-Adams has reportedly been fired from the City, and Jonathan Salomons is no longer in the employee directory","https://www.politico.com/news/2026/04/23/mamdani-has-continued-to-purge-adams-allies-from-nyc-government-00888060"
NYC_GOID_000190,"Financial Information Services Agency",acronym,"FISA","I see the office referred to as FISA most places I look. - htownley@oti.nyc.gov",""
NYC_GOID_100018,"Mayor's Office to Prevent Gun Violence",acronym,"OPGV","I think there's a bug in current entry - htownley@oti.nyc.gov",""
NYC_GOID_000268,"Mayor's Office of Ethnic and Community Media",principal_officer_full_name,"__CLEAR__","Jd Michaels has reportedly been moved to DCAS.","https://www.politico.com/news/2026/04/23/mamdani-has-continued-to-purge-adams-allies-from-nyc-government-00888060"
NYC_GOID_000268,"Mayor's Office of Ethnic and Community Media",principal_officer_first_name,"__CLEAR__","Jd Michaels has reportedly been moved to DCAS.","https://www.politico.com/news/2026/04/23/mamdani-has-continued-to-purge-adams-allies-from-nyc-government-00888060"
NYC_GOID_000268,"Mayor's Office of Ethnic and Community Media",principal_officer_last_name,"__CLEAR__","Jd Michaels has reportedly been moved to DCAS.","https://www.politico.com/news/2026/04/23/mamdani-has-continued-to-purge-adams-allies-from-nyc-government-00888060"
NYC_GOID_000293,"Mayor's Public Engagement Unit",principal_officer_full_name,"Isolina De La Cruz","Acting Executive Director - objornsson@oti.nyc.gov","https://www.nyc.gov/site/mayorspeu/about-peu/leaderships/isolina-de-la-cruz.page"
NYC_GOID_000293,"Mayor's Public Engagement Unit",principal_officer_title,"Acting Executive Director","Acting Executive Director - objornsson@oti.nyc.gov","https://www.nyc.gov/site/mayorspeu/about-peu/leaderships/isolina-de-la-cruz.page"
NYC_GOID_000293,"Mayor's Public Engagement Unit",principal_officer_first_name,"Isolina","Acting Executive Director - objornsson@oti.nyc.gov","https://www.nyc.gov/site/mayorspeu/about-peu/leaderships/isolina-de-la-cruz.page"
NYC_GOID_000293,"Mayor's Public Engagement Unit",principal_officer_last_name,"De La Cruz","Acting Executive Director - objornsson@oti.nyc.gov","https://www.nyc.gov/site/mayorspeu/about-peu/leaderships/isolina-de-la-cruz.page"
NYC_GOID_000399,"Office of the Public Realm",principal_officer_full_name,"__CLEAR__","Ya-Ting Liu now works at NYU Tandon. - objornsson@oti.nyc.gov","https://www.linkedin.com/in/ytl28"
NYC_GOID_000399,"Office of the Public Realm",principal_officer_first_name,"__CLEAR__","Ya-Ting Liu now works at NYU Tandon. - objornsson@oti.nyc.gov","https://www.linkedin.com/in/ytl28"
NYC_GOID_000399,"Office of the Public Realm",principal_officer_last_name,"__CLEAR__","Ya-Ting Liu now works at NYU Tandon. - objornsson@oti.nyc.gov","https://www.linkedin.com/in/ytl28"
NYC_GOID_000287,"Mayor's Office of Risk Management and Compliance",principal_officer_full_name,"__CLEAR__","Jean-Claude is now at DOC. - objornsson@oti.nyc.gov","https://www.linkedin.com/in/jean-claude-lebec-20274126/"
NYC_GOID_000287,"Mayor's Office of Risk Management and Compliance",principal_officer_first_name,"__CLEAR__","Jean-Claude is now at DOC. - objornsson@oti.nyc.gov","https://www.linkedin.com/in/jean-claude-lebec-20274126/"
NYC_GOID_000287,"Mayor's Office of Risk Management and Compliance",principal_officer_last_name,"__CLEAR__","Jean-Claude is now at DOC. - objornsson@oti.nyc.gov","https://www.linkedin.com/in/jean-claude-lebec-20274126/"
NYC_GOID_000190,"Financial Information Services Agency",url,"https://www.nyc.gov/site/opa/about/opa-history.page","FISA-OPA perhaps should be merged If not, the existing URL for FISA is just a reporting page about them (https://www.nyc.gov/site/eepc/about/jurisdictions/fisa.page) and should definitely be removed https://www.nyc.gov/site/eepc/about/jurisdictions/fisa.page - zfeder@oti.nyc.gov",""
