ChangeID,timestamp,record_id,record_name,column_changed,old_value,new_value,feedback_source,notes,reason,evidence_url,changed_by,RuleAction
admin-ui-20260101_151249_1,2026-01-01T15:12:50.459096,NYC_GOID_000382,Office of Technology and Innovation,principal_officer_full_name,Matthew Fraser,Ruby Choi,admin_ui_edits.csv,"Set to ""Ruby Choi",OTI email announcement,,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260101_151249_2,2026-01-01T15:12:50.459881,NYC_GOID_000382,Office of Technology and Innovation,principal_officer_title,Chief Technology Officer (CTO),Acting Chief Technology Officer (CTO),admin_ui_edits.csv,"Set to ""Acting Chief Technology Officer (CTO)",OTI email announcement,,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260101_151249_3,2026-01-01T15:12:50.460614,NYC_GOID_000382,Office of Technology and Innovation,principal_officer_given_name,Matthew,Ruby,admin_ui_edits.csv,"Set to ""Ruby",OTI email announcement,,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260101_151249_4,2026-01-01T15:12:50.461356,NYC_GOID_000382,Office of Technology and Innovation,principal_officer_family_name,Fraser,Choi,admin_ui_edits.csv,"Set to ""Choi",OTI email announcement,,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260101_151249_5,2026-01-01T15:12:50.462025,NYC_GOID_000246,Chief of Staff,principal_officer_full_name,Leila Bozorg,Elle Bisgaard-Church,admin_ui_edits.csv,"Set to ""Elle Bisgaard-Church",Name Correction,,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260101_151249_6,2026-01-01T15:12:50.462706,NYC_GOID_000246,Chief of Staff,principal_officer_given_name,Leila,Elle,admin_ui_edits.csv,"Set to ""Elle",Name Correction,,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260101_151249_7,2026-01-01T15:12:50.463385,NYC_GOID_000246,Chief of Staff,principal_officer_family_name,Bozorg,Bisgaard-Church,admin_ui_edits.csv,"Set to ""Bisgaard-Church",Name Correction,,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260101_151249_8,2026-01-01T15:12:50.464033,NYC_GOID_000166,Deputy Mayor for Communications,operational_status,Active,Inactive,admin_ui_edits.csv,"Set to ""Inactive",Mayoral administration change,,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260101_151249_9,2026-01-01T15:12:50.464756,NYC_GOID_000161,Deputy Mayor for Health and Human Services,operational_status,Active,Inactive,admin_ui_edits.csv,"Set to ""Inactive",Mayoral administration change,,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260101_151249_10,2026-01-01T15:12:50.465413,NYC_GOID_000162,Deputy Mayor of Housing Economic and Workforce Development,operational_status,Active,Inactive,admin_ui_edits.csv,"Set to ""Inactive",Mayoral administration change,,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260101_151249_11,2026-01-01T15:12:50.466031,NYC_GOID_000163,Deputy Mayor for Operations,operational_status,Active,Inactive,admin_ui_edits.csv,"Set to ""Inactive",Mayoral administration change,,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260101_151249_12,2026-01-01T15:12:50.466687,NYC_GOID_000164,Deputy Mayor for Public Safety,operational_status,Active,Inactive,admin_ui_edits.csv,"Set to ""Inactive",Mayoral administration change,,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260101_151249_13,2026-01-01T15:12:50.467342,NYC_GOID_000165,Deputy Mayor for Strategic Initiatives,operational_status,Active,Inactive,admin_ui_edits.csv,"Set to ""Inactive",Mayoral administration change,,@tlau-oti via NYCGO Admin UI,direct_set
