ChangeID,timestamp,record_id,record_name,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
v0_10_1,2025-06-27T11:14:05.750875,NYC_GOID_000337,Nightlife Advisory Board,OperationalStatus,Dissolved,Active,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Active""",v0_10_pipeline_run,direct_set
v0_10_2,2025-06-27T11:14:05.751191,NYC_GOID_000025,Board of Standards and Appeals,NameAlphabetized,Board of Standards and Appeals,"Standards and Appeals, Board of",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Standards and Appeals, Board of""",v0_10_pipeline_run,direct_set
v0_10_3,2025-06-27T11:14:05.751426,NYC_GOID_000168,Bronx County District Attorney's Office,Name,Bronx County District Attorney's Office,Bronx District Attorney's Office,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Bronx District Attorney's Office""",v0_10_pipeline_run,direct_set
v0_10_4,2025-06-27T11:14:05.751650,NYC_GOID_000168,Bronx District Attorney's Office,NameAlphabetized,District Attorney - Bronx County,"District Attorney's Office, Bronx",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""District Attorney's Office, Bronx""",v0_10_pipeline_run,direct_set
v0_10_5,2025-06-27T11:14:05.751868,NYC_GOID_000168,Bronx District Attorney's Office,AlternateOrFormerNames,,Bronx County District Attorney's Office,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Bronx County District Attorney's Office""",v0_10_pipeline_run,direct_set
v0_10_6,2025-06-27T11:14:05.752078,NYC_GOID_000395,Bronx County Public Administrator,NameAlphabetized,Public Administrator - Bronx County,"Public Administrator, Bronx County",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Public Administrator, Bronx County""",v0_10_pipeline_run,direct_set
v0_10_7,2025-06-27T11:14:05.752285,NYC_GOID_000169,Brooklyn District Attorney's Office,NameAlphabetized,District Attorney - Brooklyn,"District Attorney's Office, Brooklyn",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""District Attorney's Office, Brooklyn""",v0_10_pipeline_run,direct_set
v0_10_8,2025-06-27T11:14:05.752491,NYC_GOID_000169,Brooklyn District Attorney's Office,AlternateOrFormerNames,District Attorney - Kings County,Kings County District Attorney's Office,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Kings County District Attorney's Office""",v0_10_pipeline_run,direct_set
v0_10_9,2025-06-27T11:14:05.752696,NYC_GOID_000120,Community Services Board - Developmental Disabilities Subcommittee,NameAlphabetized,Advisory or Regulatory Organization,Community Services Board - Developmental Disabilities Subcommittee,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Community Services Board - Developmental Disabilities Subcommittee""",v0_10_pipeline_run,direct_set
v0_10_10,2025-06-27T11:14:05.752900,NYC_GOID_000122,Community Services Board - Substance Use Subcommittee,NameAlphabetized,Advisory or Regulatory Organization,Community Services Board - Substance Use Subcommittee,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Community Services Board - Substance Use Subcommittee""",v0_10_pipeline_run,direct_set
v0_10_11,2025-06-27T11:14:05.753103,NYC_GOID_000100,CUNY Construction Fund - Board of Trustees,Name,CUNY Construction Fund - Board of Trustees,City University Construction Fund,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""City University Construction Fund""",v0_10_pipeline_run,direct_set
v0_10_12,2025-06-27T11:14:05.753306,NYC_GOID_000127,Council for Airport Opportunity - Board of Directors,Name,Council for Airport Opportunity - Board of Directors,Council for Airport Opportunity,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Council for Airport Opportunity""",v0_10_pipeline_run,direct_set
v0_10_13,2025-06-27T11:14:05.753509,NYC_GOID_000127,Council for Airport Opportunity,NameAlphabetized,"Airport Opportunity, Council for - Board of Directors","Airport Opportunity, Council for",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Airport Opportunity, Council for""",v0_10_pipeline_run,direct_set
v0_10_14,2025-06-27T11:14:05.753711,NYC_GOID_000127,Council for Airport Opportunity,Acronym,,CAO,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""CAO""",v0_10_pipeline_run,direct_set
v0_10_15,2025-06-27T11:14:05.753911,NYC_GOID_000127,Council for Airport Opportunity,OrganizationType,Advisory or Regulatory Organization,Nonprofit Organization,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Nonprofit Organization""",v0_10_pipeline_run,direct_set
v0_10_16,2025-06-27T11:14:05.754112,NYC_GOID_000130,Cultural Institutions Retirement System - Board of Trustees,Name,Cultural Institutions Retirement System - Board of Trustees,Cultural Institutions Retirement System,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Cultural Institutions Retirement System""",v0_10_pipeline_run,direct_set
v0_10_17,2025-06-27T11:14:05.754313,NYC_GOID_000130,Cultural Institutions Retirement System,NameAlphabetized,Cultural Institutions Retirement System - Board of Trustees,Cultural Institutions Retirement System,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Cultural Institutions Retirement System""",v0_10_pipeline_run,direct_set
v0_10_18,2025-06-27T11:14:05.754706,NYC_GOID_000130,Cultural Institutions Retirement System,Acronym,,CIRS,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""CIRS""",v0_10_pipeline_run,direct_set
v0_10_19,2025-06-27T11:14:05.754924,NYC_GOID_000246,Deputy Mayor for Administration and Chief of Staff,NameAlphabetized,"Chief of Staff, Mayor's Office","Administration and Chief of Staff, Deputy Mayor for",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Administration and Chief of Staff, Deputy Mayor for""",v0_10_pipeline_run,direct_set
v0_10_20,2025-06-27T11:14:05.755137,NYC_GOID_000191,Fire Department,Name,Fire Department,Fire Department of the City of New York,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Fire Department of the City of New York""",v0_10_pipeline_run,direct_set
v0_10_21,2025-06-27T11:14:05.755340,NYC_GOID_000191,Fire Department of the City of New York,AlternateOrFormerNames,,Fire Department,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Fire Department""",v0_10_pipeline_run,direct_set
v0_10_22,2025-06-27T11:14:05.755545,NYC_GOID_000191,Fire Department of the City of New York,NameAlphabetized,Fire Department,Fire Department of the City of New York,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Fire Department of the City of New York""",v0_10_pipeline_run,direct_set
v0_10_23,2025-06-27T11:14:05.755756,NYC_GOID_000216,Housing Preservation and Development,Name,Housing Preservation and Development,Department of Housing Preservation and Development,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Department of Housing Preservation and Development""",v0_10_pipeline_run,direct_set
v0_10_24,2025-06-27T11:14:05.755967,NYC_GOID_000216,Department of Housing Preservation and Development,AlternateOrFormerNames,Department of Housing Preservation and Development,Housing Preservation and Development,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Housing Preservation and Development""",v0_10_pipeline_run,direct_set
v0_10_25,2025-06-27T11:14:05.756173,NYC_GOID_000234,Kings County Public Administrator,NameAlphabetized,Public Administrator - Kings County,"Public Administrator, Kings County",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Public Administrator, Kings County""",v0_10_pipeline_run,direct_set
v0_10_26,2025-06-27T11:14:05.756382,NYC_GOID_000170,Manhattan District Attorney's Office,NameAlphabetized,District Attorney - Manhattan,"District Attorney's Office, Manhattan",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""District Attorney's Office, Manhattan""",v0_10_pipeline_run,direct_set
v0_10_27,2025-06-27T11:14:05.756588,NYC_GOID_000170,Manhattan District Attorney's Office,AlternateOrFormerNames,District Attorney - New York County,New York County District Attorney's Office,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""New York County District Attorney's Office""",v0_10_pipeline_run,direct_set
v0_10_28,2025-06-27T11:14:05.756794,NYC_GOID_000259,Mayor's Office of Animal Welfare,NameAlphabetized,"Animal Welfare, Office of","Animal Welfare, Mayor's Office of",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Animal Welfare, Mayor's Office of""",v0_10_pipeline_run,direct_set
v0_10_29,2025-06-27T11:14:05.756999,NYC_GOID_000265,Mayor's Office of Correspondence,NameAlphabetized,"Correspondence, Office of","Correspondence, Mayor's Office of",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Correspondence, Mayor's Office of""",v0_10_pipeline_run,direct_set
v0_10_30,2025-06-27T11:14:05.757202,NYC_GOID_000269,Mayor's Office of Food Policy,NameAlphabetized,"Food Policy, Office of","Food Policy, Mayor's Office of",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Food Policy, Mayor's Office of""",v0_10_pipeline_run,direct_set
v0_10_31,2025-06-27T11:14:05.757405,NYC_GOID_000308,Municipal Water Finance Authority,Name,Municipal Water Finance Authority,New York City Municipal Water Finance Authority,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""New York City Municipal Water Finance Authority""",v0_10_pipeline_run,direct_set
v0_10_32,2025-06-27T11:14:05.757607,NYC_GOID_000308,New York City Municipal Water Finance Authority,NameAlphabetized,"Municipal Water Finance Authority, NYC","Municipal Water Finance Authority, New York City",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Municipal Water Finance Authority, New York City""",v0_10_pipeline_run,direct_set
v0_10_33,2025-06-27T11:14:05.757809,NYC_GOID_000240,New York City Loft Board,NameAlphabetized,New York City Loft Board,"Loft Board, New York City",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Loft Board, New York City""",v0_10_pipeline_run,direct_set
v0_10_34,2025-06-27T11:14:05.758012,NYC_GOID_000334,New York County Public Administrator,NameAlphabetized,Public Administrator - New York County,"Public Administrator, New York County",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Public Administrator, New York County""",v0_10_pipeline_run,direct_set
v0_10_35,2025-06-27T11:14:05.758259,NYC_GOID_000343,Office of the Actuary,Name,Office of the Actuary,New York City Office of the Actuary,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""New York City Office of the Actuary""",v0_10_pipeline_run,direct_set
v0_10_36,2025-06-27T11:14:05.758575,NYC_GOID_000027,Office of the Borough President of Brooklyn,NameAlphabetized,Borough President - Brooklyn,"Borough President, Brooklyn",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Borough President, Brooklyn""",v0_10_pipeline_run,direct_set
v0_10_37,2025-06-27T11:14:05.758820,NYC_GOID_000028,Office of the Borough President of Manhattan,NameAlphabetized,Borough President - Manhattan,"Borough President, Manhattan",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Borough President, Manhattan""",v0_10_pipeline_run,direct_set
v0_10_38,2025-06-27T11:14:05.759054,NYC_GOID_000029,Office of the Borough President of Queens,NameAlphabetized,Borough President - Queens,"Borough President, Queens",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Borough President, Queens""",v0_10_pipeline_run,direct_set
v0_10_39,2025-06-27T11:14:05.759277,NYC_GOID_000030,Office of the Borough President of Staten Island,NameAlphabetized,Borough President - Staten Island,"Borough President, Staten Island",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Borough President, Staten Island""",v0_10_pipeline_run,direct_set
v0_10_40,2025-06-27T11:14:05.759578,NYC_GOID_000026,Office of the Borough President of The Bronx,NameAlphabetized,Borough President - Bronx,"Borough President, Bronx",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Borough President, Bronx""",v0_10_pipeline_run,direct_set
v0_10_41,2025-06-27T11:14:05.759827,NYC_GOID_000172,Office of the District Attorney Richmond County,Name,Office of the District Attorney Richmond County,Staten Island District Attorney's Office,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Staten Island District Attorney's Office""",v0_10_pipeline_run,direct_set
