record_id,record_name,field_name,new_value,justification,evidence_url
NYC_GOID_000040,"Business Integrity Commission",reports_to,"First Deputy Mayor","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000047,"Center for Innovation through Data Intelligence",reports_to,"First Deputy Mayor","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000096,"City Commission on Human Rights",reports_to,"Deputy Mayor for Economic Justice","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000099,"City University of New York",reports_to,"First Deputy Mayor","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000100,"City University Construction Fund",reports_to,"First Deputy Mayor","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000102,"Civic Engagement Commission",reports_to,"Mayor's Office of Mass Engagement","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000111,"Commission on Gender Equity",reports_to,"Deputy Mayor for Economic Justice","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000113,"Commission on Racial Equity",reports_to,"Deputy Mayor for Economic Justice","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000117,"Mayor's Community Affairs Unit",reports_to,"Mayor's Office of Mass Engagement","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000128,"Chief Counsel to the Mayor and City Hall",principal_officer_full_name,"Ramzi Kassem","Mamdani administration appointment","http://eepurl.com/jvLKeY"
NYC_GOID_000128,"Chief Counsel to the Mayor and City Hall",principal_officer_first_name,"Ramzi","Mamdani administration appointment","http://eepurl.com/jvLKeY"
NYC_GOID_000128,"Chief Counsel to the Mayor and City Hall",principal_officer_last_name,"Kassem","Mamdani administration appointment","http://eepurl.com/jvLKeY"
NYC_GOID_000128,"Chief Counsel to the Mayor and City Hall",reports_to,"Office of the Mayor","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000136,"Department of Buildings",principal_officer_full_name,"Ahmed Tigani","Mamdani administration appointment","http://eepurl.com/jvQECU"
NYC_GOID_000136,"Department of Buildings",principal_officer_first_name,"Ahmed","Mamdani administration appointment","http://eepurl.com/jvQECU"
NYC_GOID_000136,"Department of Buildings",principal_officer_last_name,"Tigani","Mamdani administration appointment","http://eepurl.com/jvQECU"
NYC_GOID_000136,"Department of Buildings",reports_to,"Deputy Mayor for Housing and Planning","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000137,"Department of City Planning",reports_to,"Deputy Mayor for Housing and Planning","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000138,"Department of Citywide Administrative Services",reports_to,"Deputy Mayor for Operations","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000139,"Department of Consumer and Worker Protection",principal_officer_full_name,"Sam Levine","Mamdani administration appointment","https://www.cityandstateny.com/politics/2025/12/whos-who-zohran-mamdanis-administration/409701/"
NYC_GOID_000139,"Department of Consumer and Worker Protection",principal_officer_first_name,"Sam","Mamdani administration appointment","https://www.cityandstateny.com/politics/2025/12/whos-who-zohran-mamdanis-administration/409701/"
NYC_GOID_000139,"Department of Consumer and Worker Protection",principal_officer_last_name,"Levine","Mamdani administration appointment","https://www.cityandstateny.com/politics/2025/12/whos-who-zohran-mamdanis-administration/409701/"
NYC_GOID_000139,"Department of Consumer and Worker Protection",reports_to,"Deputy Mayor for Economic Justice","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000140,"Department of Correction",reports_to,"First Deputy Mayor","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000141,"Department of Cultural Affairs",reports_to,"Deputy Mayor for Economic Justice","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000143,"New York City Public Schools",principal_officer_full_name,"Kamar Samuels","Mamdani administration appointment","http://eepurl.com/jvP7mM"
NYC_GOID_000143,"New York City Public Schools",principal_officer_first_name,"Kamar","Mamdani administration appointment","http://eepurl.com/jvP7mM"
NYC_GOID_000143,"New York City Public Schools",principal_officer_last_name,"Samuels","Mamdani administration appointment","http://eepurl.com/jvP7mM"
NYC_GOID_000143,"New York City Public Schools",reports_to,"First Deputy Mayor","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000150,"Department of Probation",reports_to,"First Deputy Mayor","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000151,"Department of Records and Information Services",reports_to,"Deputy Mayor for Operations","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000153,"Department of Small Business Services",reports_to,"Deputy Mayor for Economic Justice","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000155,"Department of Homeless Services",reports_to,"Deputy Mayor for Health and Human Services","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000156,"Human Resources Administration",reports_to,"Deputy Mayor for Health and Human Services","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000157,"New York City Department of Transportation",principal_officer_full_name,"Mike Flynn","Mamdani administration appointment","https://www.nyc.gov/mayors-office/news/2026/01/as-first-move-as-mayor--mamdani-appoints-department-of-transport"
NYC_GOID_000157,"New York City Department of Transportation",principal_officer_first_name,"Mike","Mamdani administration appointment","https://www.nyc.gov/mayors-office/news/2026/01/as-first-move-as-mayor--mamdani-appoints-department-of-transport"
NYC_GOID_000157,"New York City Department of Transportation",principal_officer_last_name,"Flynn","Mamdani administration appointment","https://www.nyc.gov/mayors-office/news/2026/01/as-first-move-as-mayor--mamdani-appoints-department-of-transport"
NYC_GOID_000159,"Department of Youth and Community Development",reports_to,"Deputy Mayor for Health and Human Services","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000161,"Deputy Mayor for Health and Human Services",principal_officer_full_name,"Helen Arteaga","Mamdani administration appointment","http://eepurl.com/jvLEHU"
NYC_GOID_000161,"Deputy Mayor for Health and Human Services",principal_officer_first_name,"Helen","Mamdani administration appointment","http://eepurl.com/jvLEHU"
NYC_GOID_000161,"Deputy Mayor for Health and Human Services",principal_officer_last_name,"Arteaga","Mamdani administration appointment","http://eepurl.com/jvLEHU"
NYC_GOID_000161,"Deputy Mayor for Health and Human Services",reports_to,"Office of the Mayor","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000163,"Deputy Mayor for Operations",principal_officer_full_name,"Julia Kerson","Mamdani administration appointment","http://eepurl.com/jvP-e2"
NYC_GOID_000163,"Deputy Mayor for Operations",principal_officer_first_name,"Julia","Mamdani administration appointment","http://eepurl.com/jvP-e2"
NYC_GOID_000163,"Deputy Mayor for Operations",principal_officer_last_name,"Kerson","Mamdani administration appointment","http://eepurl.com/jvP-e2"
NYC_GOID_000163,"Deputy Mayor for Operations",reports_to,"Office of the Mayor","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000177,"Economic Development Corporation",reports_to,"Deputy Mayor for Economic Justice","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000191,"Fire Department of the City of New York",principal_officer_full_name,"Lillian Bonsignore","Mamdani administration appointment","http://eepurl.com/jvk2go"
NYC_GOID_000191,"Fire Department of the City of New York",principal_officer_first_name,"Lillian","Mamdani administration appointment","http://eepurl.com/jvk2go"
NYC_GOID_000191,"Fire Department of the City of New York",principal_officer_last_name,"Bonsignore","Mamdani administration appointment","http://eepurl.com/jvk2go"
NYC_GOID_000191,"Fire Department of the City of New York",reports_to,"Deputy Mayor for Operations","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000193,"First Deputy Mayor",reports_to,"Office of the Mayor","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
NYC_GOID_000202,"Gracie Mansion Conservancy",reports_to,"Chief of Staff","Per EO 02 - Mayor's Office Structure and Operations","https://www.nyc.gov/mayors-office/news/2026/01/executive-order-02"
