timestamp,record_id,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
2025-06-04 13:25:46,NYC_GOID_000000,PrincipalOfficerFullName,,Joseph Morrisroe,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_FinalGlobalPass,name_parse_success
2025-06-04 13:25:46,NYC_GOID_000000,PrincipalOfficerGivenName,,Joseph,System_NameParseRule,Parsed from: 'Joseph Morrisroe',MyName_Phase6_FinalGlobalPass,name_parse_success
2025-06-04 13:25:46,NYC_GOID_000000,PrincipalOfficerFamilyName,,Morrisroe,System_NameParseRule,Parsed from: 'Joseph Morrisroe',MyName_Phase6_FinalGlobalPass,name_parse_success
2025-06-04 13:25:46,NYC_GOID_000001,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
2025-06-04 13:25:46,NYC_GOID_000003,PrincipalOfficerFullName,,Sideya Sherman,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_FinalGlobalPass,name_parse_success
2025-06-04 13:25:46,NYC_GOID_000003,PrincipalOfficerGivenName,,Sideya,System_NameParseRule,Parsed from: 'Sideya Sherman',MyName_Phase6_FinalGlobalPass,name_parse_success
2025-06-04 13:25:46,NYC_GOID_000003,PrincipalOfficerFamilyName,,Sherman,System_NameParseRule,Parsed from: 'Sideya Sherman',MyName_Phase6_FinalGlobalPass,name_parse_success
2025-06-04 13:25:46,NYC_GOID_000005,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
2025-06-04 13:25:46,NYC_GOID_000006,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
2025-06-04 13:25:46,NYC_GOID_000007,PrincipalOfficerFullName,,Lorraine Cortés-Vázquez,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_FinalGlobalPass,name_parse_success
2025-06-04 13:25:46,NYC_GOID_000007,PrincipalOfficerGivenName,,Lorraine,System_NameParseRule,Parsed from: 'Lorraine Cortés-Vázquez',MyName_Phase6_FinalGlobalPass,name_parse_success
2025-06-04 13:25:46,NYC_GOID_000007,PrincipalOfficerFamilyName,,Cortés-Vázquez,System_NameParseRule,Parsed from: 'Lorraine Cortés-Vázquez',MyName_Phase6_FinalGlobalPass,name_parse_success
2025-06-04 13:25:46,NYC_GOID_000008,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
2025-06-04 13:25:46,NYC_GOID_000009,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
2025-06-04 13:25:46,NYC_GOID_000010,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
2025-06-04 13:25:46,NYC_GOID_000011,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
2025-06-04 13:25:46,NYC_GOID_000012,PrincipalOfficerFullName,,Risa Weinstock,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_FinalGlobalPass,name_parse_success
2025-06-04 13:25:46,NYC_GOID_000012,PrincipalOfficerGivenName,,Risa,System_NameParseRule,Parsed from: 'Risa Weinstock',MyName_Phase6_FinalGlobalPass,name_parse_success
2025-06-04 13:25:46,NYC_GOID_000012,PrincipalOfficerFamilyName,,Weinstock,System_NameParseRule,Parsed from: 'Risa Weinstock',MyName_Phase6_FinalGlobalPass,name_parse_success
2025-06-04 13:25:46,NYC_GOID_000014,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
2025-06-04 13:25:46,NYC_GOID_000015,PrincipalOfficerFullName,,Melva M. Miller,System_NameParseRule,Copied from PrincipalOfficerName,MyName_Phase6_FinalGlobalPass,name_parse_success
2025-06-04 13:25:46,NYC_GOID_000015,PrincipalOfficerGivenName,,Melva,System_NameParseRule,Parsed from: 'Melva M. Miller',MyName_Phase6_FinalGlobalPass,name_parse_success
2025-06-04 13:25:46,NYC_GOID_000015,PrincipalOfficerMiddleNameOrInitial,,M.,System_NameParseRule,Parsed from: 'Melva M. Miller',MyName_Phase6_FinalGlobalPass,name_parse_success
2025-06-04 13:25:46,NYC_GOID_000015,PrincipalOfficerFamilyName,,Miller,System_NameParseRule,Parsed from: 'Melva M. Miller',MyName_Phase6_FinalGlobalPass,name_parse_success
2025-06-04 13:25:46,NYC_GOID_000016,PrincipalOfficerName_ParseReview,None/Empty,N/A,System_NameParseRule,PrincipalOfficerName is empty or invalid (None/Empty). Cannot parse into name parts.,MyName_Phase6_FinalGlobalPass,name_parse_review_needed
