record_id,record_name,field_name,action,justification,evidence_url
NYC_GOID_000157,"New York City Department of Transportation",principal_officer_full_name,"Set to ""Mike Flynn""","As First Move as Mayor, Mamdani Appoints Department of Transportation Commissioner Mike Flynn in Old City Hall Station","https://www.nyc.gov/mayors-office/news/2026/01/as-first-move-as-mayor--mamdani-appoints-department-of-transport"
NYC_GOID_000157,"New York City Department of Transportation",principal_officer_given_name,"Set to ""Mike""","As First Move as Mayor, Mamdani Appoints Department of Transportation Commissioner Mike Flynn in Old City Hall Station","https://www.nyc.gov/mayors-office/news/2026/01/as-first-move-as-mayor--mamdani-appoints-department-of-transport"
NYC_GOID_000157,"New York City Department of Transportation",principal_officer_family_name,"Set to ""Flynn""","As First Move as Mayor, Mamdani Appoints Department of Transportation Commissioner Mike Flynn in Old City Hall Station","https://www.nyc.gov/mayors-office/news/2026/01/as-first-move-as-mayor--mamdani-appoints-department-of-transport"
NYC_GOID_000226,"Office of Intergovernmental Affairs",url,"Set to ""https://www.nyc.gov/site/intergovernmental/index.page""","Appointment change email from Devin McManus",""
NYC_GOID_000226,"Office of Intergovernmental Affairs",principal_officer_full_name,"Set to ""Jahmila Edward""","Appointment change email from Devin McManus",""
NYC_GOID_000226,"Office of Intergovernmental Affairs",principal_officer_title,"Set to ""Director of Intergovernmental Affairs""","Appointment change email from Devin McManus",""
NYC_GOID_000226,"Office of Intergovernmental Affairs",principal_officer_given_name,"Set to ""Jahmila""","Appointment change email from Devin McManus",""
NYC_GOID_000226,"Office of Intergovernmental Affairs",principal_officer_family_name,"Set to ""Edward""","Appointment change email from Devin McManus",""
NYC_GOID_000246,"Deputy Mayor for Administration and Chief of Staff",name,"Set to ""Chief of Staff""","Appointment change email from Devin McManus",""
NYC_GOID_000246,"Deputy Mayor for Administration and Chief of Staff",name_alphabetized,"Set to ""Chief of Staff""","Appointment change email from Devin McManus",""
NYC_GOID_000246,"Deputy Mayor for Administration and Chief of Staff",principal_officer_full_name,"Set to ""Leila Bozorg""","Appointment change email from Devin McManus",""
NYC_GOID_000246,"Deputy Mayor for Administration and Chief of Staff",principal_officer_title,"Set to ""Chief of Staff""","Appointment change email from Devin McManus",""
NYC_GOID_000246,"Deputy Mayor for Administration and Chief of Staff",principal_officer_given_name,"Set to ""Leila""","Appointment change email from Devin McManus",""
NYC_GOID_000246,"Deputy Mayor for Administration and Chief of Staff",principal_officer_family_name,"Set to ""Bozorg""","Appointment change email from Devin McManus",""
NYC_GOID_000193,"First Deputy Mayor",principal_officer_full_name,"Set to ""Dean Fuleihan""","Appointment change email from Devin McManus",""
NYC_GOID_000193,"First Deputy Mayor",principal_officer_given_name,"Set to ""Dean""","Appointment change email from Devin McManus",""
NYC_GOID_000193,"First Deputy Mayor",principal_officer_family_name,"Set to ""Fuleihan""","Appointment change email from Devin McManus",""
NEW,"Deputy Mayor for Housing and Planning",name,"Set to ""Deputy Mayor for Housing and Planning""","New appointment sent by Devin McManus",""
NEW,"Deputy Mayor for Housing and Planning",name_alphabetized,"Set to ""Housing and Planning, Deputy Mayor for""","New appointment sent by Devin McManus",""
NEW,"Deputy Mayor for Housing and Planning",operational_status,"Set to ""Active""","New appointment sent by Devin McManus",""
NEW,"Deputy Mayor for Housing and Planning",organization_type,"Set to ""Mayoral Office""","New appointment sent by Devin McManus",""
NEW,"Deputy Mayor for Housing and Planning",in_org_chart,"Set to ""TRUE""","New appointment sent by Devin McManus",""
NEW,"Deputy Mayor for Housing and Planning",principal_officer_full_name,"Set to ""Leila Bozorg""","New appointment sent by Devin McManus",""
NEW,"Deputy Mayor for Housing and Planning",principal_officer_given_name,"Set to ""Leila""","New appointment sent by Devin McManus",""
NEW,"Deputy Mayor for Housing and Planning",principal_officer_family_name,"Set to ""Bozorg""","New appointment sent by Devin McManus",""
NEW,"Deputy Mayor for Housing and Planning",principal_officer_title,"Set to ""Deputy Mayor for Housing and Planning""","New appointment sent by Devin McManus",""
