record_id,record_name,field_name,action,justification,evidence_url
NYC_GOID_000157,"New York City Department of Transportation",principal_officer_full_name,"Set to ""Ydanis Rodriguez""","Wait until start date",""
NYC_GOID_000157,"New York City Department of Transportation",principal_officer_given_name,"Set to ""Ydanis""","Wait until start date",""
NYC_GOID_000157,"New York City Department of Transportation",principal_officer_family_name,"Set to ""Rodriguez""","Wait until start date",""
NYC_GOID_000382,"Office of Technology and Innovation",principal_officer_full_name,"Set to ""Matthew C. Fraser""","Wait until start date",""
NYC_GOID_000382,"Office of Technology and Innovation",principal_officer_given_name,"Set to ""Matthew""","Wait until start date",""
NYC_GOID_000382,"Office of Technology and Innovation",principal_officer_family_name,"Set to ""Fraser""","Wait until start date",""
NYC_GOID_000382,"Office of Technology and Innovation",principal_officer_title,"Set to ""Chief Technology Officer (CTO)""","Wait until start date",""
NYC_GOID_000123,"Office of the New York City Comptroller",principal_officer_full_name,"Set to ""Mark Levine""","New Comptroller",""
NYC_GOID_000123,"Office of the New York City Comptroller",principal_officer_given_name,"Set to ""Mark""","New Comptroller",""
NYC_GOID_000123,"Office of the New York City Comptroller",principal_officer_family_name,"Set to ""Levine""","New Comptroller",""
NYC_GOID_000028,"Office of the Borough President of Manhattan",principal_officer_full_name,"Set to ""Brad Hoylman-Sigal""","New Manhattan Borough President",""
NYC_GOID_000028,"Office of the Borough President of Manhattan",principal_officer_given_name,"Set to ""Brad""","New Manhattan Borough President",""
NYC_GOID_000028,"Office of the Borough President of Manhattan",principal_officer_family_name,"Set to ""Hoylman-Sigal""","New Manhattan Borough President",""
