ChangeID,timestamp,record_id,record_name,column_changed,old_value,new_value,feedback_source,notes,reason,evidence_url,changed_by,RuleAction
admin-ui-20260211_145517_1,2026-02-11T14:55:18.870848,NYC_GOID_100036,Mayor's Office to Combat Antisemitism,_ROW_ADDED,N/A,Mayor's Office to Combat Antisemitism,admin_ui_edits.csv,New record created with 7 fields,,,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260211_145517_2,2026-02-11T14:55:18.873115,NYC_GOID_000382,Office of Technology and Innovation,principal_officer_full_name,Ruby Choi,Lisa Gelobter,admin_ui_edits.csv,,Mayoral announcement,https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260211_145517_3,2026-02-11T14:55:18.873886,NYC_GOID_000382,Office of Technology and Innovation,principal_officer_title,Acting Chief Technology Officer (CTO),Chief Technology Officer and Commissioner,admin_ui_edits.csv,,Mayoral announcement,https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260211_145517_4,2026-02-11T14:55:18.874635,NYC_GOID_000382,Office of Technology and Innovation,principal_officer_first_name,Ruby,Lisa,admin_ui_edits.csv,,Mayoral announcement,https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260211_145517_5,2026-02-11T14:55:18.875372,NYC_GOID_000382,Office of Technology and Innovation,principal_officer_last_name,Choi,Gelobter,admin_ui_edits.csv,,Mayoral announcement,https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260211_145517_6,2026-02-11T14:55:18.876103,NYC_GOID_000284,Mayor's Office for People with Disabilities,principal_officer_full_name,Christina Curry,Nisha Agarwal,admin_ui_edits.csv,,Mayoral announcement,https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260211_145517_7,2026-02-11T14:55:18.876804,NYC_GOID_000284,Mayor's Office for People with Disabilities,principal_officer_first_name,Christina,Nisha,admin_ui_edits.csv,,Mayoral announcement,https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260211_145517_8,2026-02-11T14:55:18.877529,NYC_GOID_000284,Mayor's Office for People with Disabilities,principal_officer_last_name,Curry,Agarwal,admin_ui_edits.csv,,Mayoral announcement,https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260211_145517_9,2026-02-11T14:55:18.878250,NYC_GOID_000135,Department for the Aging,principal_officer_full_name,Lorraine Cortés-Vázquez,Lisa Scott-McKenzie,admin_ui_edits.csv,,Mayoral announcement,https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260211_145517_10,2026-02-11T14:55:18.878947,NYC_GOID_000135,Department for the Aging,principal_officer_first_name,Lorraine,Lisa,admin_ui_edits.csv,,Mayoral announcement,https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-,@tlau-oti via NYCGO Admin UI,direct_set
admin-ui-20260211_145517_11,2026-02-11T14:55:18.879668,NYC_GOID_000135,Department for the Aging,principal_officer_last_name,Cortés-Vázquez,Scott-McKenzie,admin_ui_edits.csv,,Mayoral announcement,https://www.nyc.gov/mayors-office/news/2026/02/mayor-mamdani-announces-key-appointments-to-three-city-agencies-,@tlau-oti via NYCGO Admin UI,direct_set
