record_id,record_name,field_name,new_value,justification,evidence_url
NYC_GOID_000397,"Public Design Commission",principal_officer_full_name,"Erich Bilal","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-announces-appointments-across-city-government"
NYC_GOID_000397,"Public Design Commission",principal_officer_contact_url,"https://www.nyc.gov/site/designcommission/about/people/contact.page","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-announces-appointments-across-city-government"
NYC_GOID_000397,"Public Design Commission",principal_officer_first_name,"Erich","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-announces-appointments-across-city-government"
NYC_GOID_000397,"Public Design Commission",principal_officer_last_name,"Bilal","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-announces-appointments-across-city-government"
NYC_GOID_000040,"Business Integrity Commission",principal_officer_full_name,"Asim Rehman","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-announces-appointments-across-city-government"
NYC_GOID_000040,"Business Integrity Commission",principal_officer_first_name,"Asim","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-announces-appointments-across-city-government"
NYC_GOID_000040,"Business Integrity Commission",principal_officer_last_name,"Rehman","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-announces-appointments-across-city-government"
NYC_GOID_000275,"Mayor's Office of Pensions and Investments",principal_officer_full_name,"Ahmer Qadeer","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-announces-appointments-across-city-government"
NYC_GOID_000275,"Mayor's Office of Pensions and Investments",principal_officer_first_name,"Ahmer","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-announces-appointments-across-city-government"
NYC_GOID_000275,"Mayor's Office of Pensions and Investments",principal_officer_last_name,"Qadeer","Mayoral appointment","https://www.nyc.gov/mayors-office/news/2026/04/mayor-mamdani-announces-appointments-across-city-government"
